time	sum_h_out_002_001
2.037759554422913e-08	-8.381113226149388e-02
2.093029830911738e-08	-8.429434157834970e-02
2.162875234225926e-08	-8.484840120734304e-02
2.260531484225926e-08	-8.552893347902422e-02
2.358187734225926e-08	-8.611304172011273e-02
2.455843984225926e-08	-8.661439504866161e-02
2.553500234225926e-08	-8.704472342601667e-02
2.651156484225926e-08	-8.741409270521502e-02
2.748812734225926e-08	-8.773114091071241e-02
2.846468984225926e-08	-8.800328144671304e-02
2.944125234225926e-08	-8.823687665960089e-02
3.041781484225926e-08	-8.843738717897025e-02
3.139437734225926e-08	-8.860949968270788e-02
3.237093984225926e-08	-8.875723677199095e-02
3.334750234225925e-08	-8.888405105214953e-02
3.432406484225925e-08	-8.899290599241651e-02
3.530062734225925e-08	-8.908634522136920e-02
3.627718984225925e-08	-8.916655204932436e-02
3.725375234225924e-08	-8.923540051612207e-02
3.823031484225924e-08	-8.929449921547569e-02
3.920687734225924e-08	-8.934522890514854e-02
4.018343984225924e-08	-8.938877477803274e-02
4.116000234225923e-08	-8.942615417409568e-02
4.213656484225923e-08	-8.945824034682517e-02
4.311312734225923e-08	-8.948578288338228e-02
4.408968984225922e-08	-8.950942520885011e-02
4.506625234225922e-08	-8.952971963399609e-02
4.604281484225922e-08	-8.954714024832275e-02
4.701937734225922e-08	-8.956209400920245e-02
4.799593984225921e-08	-8.957493023881986e-02
4.897250234225921e-08	-8.958594879633865e-02
4.994906484225921e-08	-8.959540707337392e-02
5.092562734225921e-08	-8.960352601689310e-02
5.190218984225920e-08	-8.961049528198310e-02
5.287875234225920e-08	-8.961647767098926e-02
5.385531484225920e-08	-8.962161292866150e-02
5.483187734225919e-08	-8.962602101430839e-02
5.580843984225919e-08	-8.962980489734387e-02
5.678500234225919e-08	-8.963305296896534e-02
5.776156484225919e-08	-8.963584110097343e-02
5.873812734225918e-08	-8.963823442390273e-02
5.971468984225919e-08	-8.964028884316971e-02
6.069125234225919e-08	-8.964205234989581e-02
6.166781484225918e-08	-8.964356613735652e-02
6.264437734225918e-08	-8.964486556767257e-02
6.362093984225918e-08	-8.964598099371572e-02
6.459750234225917e-08	-8.964693847198014e-02
6.557406484225917e-08	-8.964776036775633e-02
6.655062734225917e-08	-8.964846588060081e-02
6.752718984225917e-08	-8.964907149005494e-02
6.850375234225916e-08	-8.964959134350972e-02
6.948031484225916e-08	-8.965003758372687e-02
7.045687734225916e-08	-8.965042063512572e-02
7.143343984225916e-08	-8.965074944490789e-02
7.241000234225915e-08	-8.965103169434911e-02
7.338656484225915e-08	-8.965127397610688e-02
7.436312734225915e-08	-8.965148195017725e-02
7.533968984225914e-08	-8.965166047421060e-02
7.631625234225914e-08	-8.965181371883005e-02
7.729281484225914e-08	-8.965194526326949e-02
7.826937734225914e-08	-8.965205818077768e-02
7.924593984225913e-08	-8.965215510866058e-02
8.022250234225913e-08	-8.965223831139321e-02
8.119906484225913e-08	-8.965230973220525e-02
8.217562734225912e-08	-8.965237103974588e-02
8.315218984225912e-08	-8.965242366575958e-02
8.412875234225912e-08	-8.965246883991079e-02
8.510531484225912e-08	-8.965250761710417e-02
8.608187734225911e-08	-8.965254090345011e-02
8.705843984225911e-08	-8.965256947626032e-02
8.803500234225911e-08	-8.965259400322574e-02
8.901156484225911e-08	-8.965261505692217e-02
8.998812734225910e-08	-8.965263312945568e-02
9.096468984225910e-08	-8.965264864272911e-02
9.194125234225910e-08	-8.965266195935634e-02
9.291781484225909e-08	-8.965267339021619e-02
9.389437734225909e-08	-8.965268320256842e-02
9.487093984225909e-08	-8.965269162534438e-02
9.584750234225909e-08	-8.965269885551150e-02
9.682406484225908e-08	-8.965270506175001e-02
9.780062734225908e-08	-8.965271038925088e-02
9.877718984225908e-08	-8.965271496228980e-02
9.975375234225908e-08	-8.965271888789580e-02
1.007303148422591e-07	-8.965272225749303e-02
1.017068773422591e-07	-8.965272515001581e-02
1.026834398422591e-07	-8.965272763286183e-02
1.036600023422591e-07	-8.965272976424080e-02
1.046365648422591e-07	-8.965273159373205e-02
1.056131273422591e-07	-8.965273316426219e-02
1.065896898422591e-07	-8.965273451232272e-02
1.075662523422591e-07	-8.965273566956061e-02
1.085428148422591e-07	-8.965273666284834e-02
1.095193773422590e-07	-8.965273751558532e-02
1.104959398422590e-07	-8.965273824745651e-02
1.114725023422590e-07	-8.965273887578304e-02
1.124490648422590e-07	-8.965273941504723e-02
1.134256273422590e-07	-8.965273987804298e-02
1.144021898422590e-07	-8.965274027539989e-02
1.153787523422590e-07	-8.965274061657884e-02
1.163553148422590e-07	-8.965274090932845e-02
1.173318773422590e-07	-8.965274116068325e-02
1.183084398422590e-07	-8.965274137643339e-02
1.192850023422590e-07	-8.965274156170097e-02
1.202615648422590e-07	-8.965274172059934e-02
1.212381273422590e-07	-8.965274185711018e-02
1.222146898422590e-07	-8.965274197423165e-02
1.231912523422590e-07	-8.965274207482335e-02
1.241678148422590e-07	-8.965274216108826e-02
